taxonID	parentNameUsageID	scientificNameID	scientificName	scientificNameAuthorship	namePublishedInYear	CommonName	vernacularName	taxonRankID	taxonRank
240529	1011032	urn:lsid:dyntaxa.se:Taxon:240529	Batillipes mirus	Richters	1909			17	Species
247035	1011032	urn:lsid:dyntaxa.se:Taxon:247035	Batillipes noerrevangi	Kristensen	1978			17	Species
247034	1012912	urn:lsid:dyntaxa.se:Taxon:247034	Halechiniscus remanei	Schulz	1955			17	Species
240530	1011033	urn:lsid:dyntaxa.se:Taxon:240530	Raiarctus aureolatus	Renaud-Mornant	1981			17	Species
240531	1011034	urn:lsid:dyntaxa.se:Taxon:240531	Actinarctus doryphorus	Schulz	1935			17	Species
6007181	6007180	urn:lsid:dyntaxa.se:Taxon:6007181	Tanarctus gracilis	Renaud-Mornant	1980			17	Species
240533	1011035	urn:lsid:dyntaxa.se:Taxon:240533	Echiniscoides sigismundi	C.A.S.Schultze	1865			17	Species
248401	6007201	urn:lsid:dyntaxa.se:Taxon:248401	Bryochoerus intermedius	J.Murray	1910			17	Species
248399	1013416	urn:lsid:dyntaxa.se:Taxon:248399	Bryodelphax parvulus	Thulin	1928			17	Species
248406	6007204	urn:lsid:dyntaxa.se:Taxon:248406	Diploechiniscus oihonnae	Richters	1903			17	Species
248396	1013415	urn:lsid:dyntaxa.se:Taxon:248396	Echiniscus arctomys	Ehrenberg	1853			17	Species
248397	1013415	urn:lsid:dyntaxa.se:Taxon:248397	Echiniscus blumi	Richters	1903			17	Species
248398	1013415	urn:lsid:dyntaxa.se:Taxon:248398	Echiniscus filamentosus	Plate	1888			17	Species
248400	1013415	urn:lsid:dyntaxa.se:Taxon:248400	Echiniscus granulatus	Doyère	1840			17	Species
248402	1013415	urn:lsid:dyntaxa.se:Taxon:248402	Echiniscus lapponicus	Thulin	1911			17	Species
248403	1013415	urn:lsid:dyntaxa.se:Taxon:248403	Echiniscus merokensis	Richters	1904			17	Species
248405	1013415	urn:lsid:dyntaxa.se:Taxon:248405	Echiniscus muscicola	Plate	1888			17	Species
6007211	1013415	urn:lsid:dyntaxa.se:Taxon:6007211	Echiniscus pusae	Marcus	1928			17	Species
248407	1013415	urn:lsid:dyntaxa.se:Taxon:248407	Echiniscus quadrispinosus	Richters	1902			17	Species
248408	1013415	urn:lsid:dyntaxa.se:Taxon:248408	Echiniscus spiniger	Richters	1904			17	Species
248409	1013415	urn:lsid:dyntaxa.se:Taxon:248409	Echiniscus testudo	Doyère	1840			17	Species
248410	1013415	urn:lsid:dyntaxa.se:Taxon:248410	Echiniscus trisetosus	Cuénot	1932			17	Species
248411	1013415	urn:lsid:dyntaxa.se:Taxon:248411	Echiniscus wendti	Richters	1903			17	Species
6007213	6007212	urn:lsid:dyntaxa.se:Taxon:6007213	Parechiniscus chitonides	Cuénot	1926			17	Species
6007437	1013417	urn:lsid:dyntaxa.se:Taxon:6007437	Pseudechiniscus facettalis	Petersen	1951			17	Species
248412	1013417	urn:lsid:dyntaxa.se:Taxon:248412	Pseudechiniscus suillus	Ehrenberg	1853			17	Species
6007215	6007214	urn:lsid:dyntaxa.se:Taxon:6007215	Testechiniscus spitsbergensis	Scourfield	1897			17	Species
248470	248439	urn:lsid:dyntaxa.se:Taxon:248470	Adropion scoticum ommatophorum	Thulin	1911			18	Subspecies
240532	240531	urn:lsid:dyntaxa.se:Taxon:240532	Actinarctus doryphorus doryphorus	Schulz	1935			18	Subspecies
240534	240533	urn:lsid:dyntaxa.se:Taxon:240534	Echiniscoides sigismundi sigismundi	C.A.S.Schultze	1865			18	Subspecies
248404	248403	urn:lsid:dyntaxa.se:Taxon:248404	Echiniscus merokensis suecicus	Thulin	1911			18	Subspecies
6007210	248403	urn:lsid:dyntaxa.se:Taxon:6007210	Echiniscus merokensis merokensis	Richters	1904			18	Subspecies
